MessageNumber	DiagnosisTypes	Timestamp	TimeElapsed	Source	Destination	Module	Summary
104195	None	2017-12-14T02:35:06.8105882		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59887, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 994175386 - 994175386, Ack: 2436926486, Win: 64228	
104868	None	2017-12-14T02:35:06.9746950		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59888, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3797275121 - 3797275122, Ack: 0, Win: 8192(negotiating scale factor: 8)	
104869	None	2017-12-14T02:35:06.9774246		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59888, Length: 0, Seq Range: 3645213704 - 3645213705, Ack: 3797275122, Win: 512	
104870	None	2017-12-14T02:35:06.9775178		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59888, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3797275122 - 3797275122, Ack: 3645213705, Win: 16445440(scale factor: 8)	
104871	None	2017-12-14T02:35:06.9775642	0,0028736	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59888, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 3797275122 - 3797275137	
105917	None	2017-12-14T02:35:07.2697043		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59888, Len: 12, Seq Range: 3645213705 - 3645213717	
105923	None	2017-12-14T02:35:07.2702566		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59888, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3797275137 - 3797275138, Ack: 3645213717, Win: 16442368(scale factor: 8)	
105930	None	2017-12-14T02:35:07.2717050		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59888, Length: 0, Seq Range: 3645213717 - 3645213718, Ack: 3797275138, Win: 260	
105931	None	2017-12-14T02:35:07.2717487		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59888, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3797275138 - 3797275138, Ack: 3645213718, Win: 64228	
106113	None	2017-12-14T02:35:07.3181863		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59889, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2801053383 - 2801053384, Ack: 0, Win: 8192(negotiating scale factor: 8)	
106114	None	2017-12-14T02:35:07.3198471		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59889, Length: 0, Seq Range: 2269744136 - 2269744137, Ack: 2801053384, Win: 512	
106115	None	2017-12-14T02:35:07.3199332		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59889, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2801053384 - 2801053384, Ack: 2269744137, Win: 16445440(scale factor: 8)	
106116	None	2017-12-14T02:35:07.3200953	0,0020786	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59889, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 2801053384 - 2801053399	
107359	None	2017-12-14T02:35:07.6602595		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59889, Len: 12, Seq Range: 2269744137 - 2269744149	
107368	None	2017-12-14T02:35:07.6604648		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59889, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2801053399 - 2801053400, Ack: 2269744149, Win: 16442368(scale factor: 8)	
107384	None	2017-12-14T02:35:07.6622911		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59889, Length: 0, Seq Range: 2269744149 - 2269744150, Ack: 2801053400, Win: 260	
107388	None	2017-12-14T02:35:07.6624630		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59889, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2801053400 - 2801053400, Ack: 2269744150, Win: 64228	
107438	None	2017-12-14T02:35:07.6835273		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59890, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2825362575 - 2825362576, Ack: 0, Win: 8192(negotiating scale factor: 8)	
107441	None	2017-12-14T02:35:07.6843155		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59890, Length: 0, Seq Range: 2521664520 - 2521664521, Ack: 2825362576, Win: 512	
107442	None	2017-12-14T02:35:07.6844194		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59890, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2825362576 - 2825362576, Ack: 2521664521, Win: 16445440(scale factor: 8)	
107443	None	2017-12-14T02:35:07.6844568	0,0018666	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59890, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 2825362576 - 2825362591	
108383	None	2017-12-14T02:35:07.9896242		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59890, Len: 12, Seq Range: 2521664521 - 2521664533	
108389	None	2017-12-14T02:35:07.9897904		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59890, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2825362591 - 2825362592, Ack: 2521664533, Win: 16442368(scale factor: 8)	
108408	None	2017-12-14T02:35:07.9916324		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59890, Length: 0, Seq Range: 2521664533 - 2521664534, Ack: 2825362592, Win: 260	
108409	None	2017-12-14T02:35:07.9917057		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59890, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 2825362592 - 2825362592, Ack: 2521664534, Win: 64228	
108725	None	2017-12-14T02:35:08.0596667		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59891, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3644820162 - 3644820163, Ack: 0, Win: 8192(negotiating scale factor: 8)	
108726	None	2017-12-14T02:35:08.0608103		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59891, Length: 0, Seq Range: 2320600072 - 2320600073, Ack: 3644820163, Win: 512	
108727	None	2017-12-14T02:35:08.0608964		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59891, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3644820163 - 3644820163, Ack: 2320600073, Win: 16445440(scale factor: 8)	
108728	None	2017-12-14T02:35:08.0609262	0,0018855	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59891, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 3644820163 - 3644820178	
109829	None	2017-12-14T02:35:08.3550916		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59891, Len: 12, Seq Range: 2320600073 - 2320600085	
109830	None	2017-12-14T02:35:08.3551775		10.68.43.246	10.68.43.245	TCP	Flags: ...A...F, SrcPort: 59891, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3644820178 - 3644820179, Ack: 2320600085, Win: 16442368(scale factor: 8)	
109831	None	2017-12-14T02:35:08.3570951		10.68.43.245	10.68.43.246	TCP	Flags: ...A...F, SrcPort: ASA_APPL_PROTO(502), DstPort: 59891, Length: 0, Seq Range: 2320600085 - 2320600086, Ack: 3644820179, Win: 260	
109832	None	2017-12-14T02:35:08.3571496		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59891, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3644820179 - 3644820179, Ack: 2320600086, Win: 64228	
110124	None	2017-12-14T02:35:08.4262422		10.68.43.246	10.68.43.245	TCP	Flags: ......S., SrcPort: 59892, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3729494864 - 3729494865, Ack: 0, Win: 8192(negotiating scale factor: 8)	
110135	None	2017-12-14T02:35:08.4277915		10.68.43.245	10.68.43.246	TCP	Flags: ...A..S., SrcPort: ASA_APPL_PROTO(502), DstPort: 59892, Length: 0, Seq Range: 1482001416 - 1482001417, Ack: 3729494865, Win: 512	
110146	None	2017-12-14T02:35:08.4278970		10.68.43.246	10.68.43.245	TCP	Flags: ...A...., SrcPort: 59892, DstPort: ASA_APPL_PROTO(502), Length: 0, Seq Range: 3729494865 - 3729494865, Ack: 1482001417, Win: 16445440(scale factor: 8)	
110147	None	2017-12-14T02:35:08.4279404	0,0023737	10.68.43.246	10.68.43.245	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: 59892, DstPort: ASA_APPL_PROTO(502), Len: 15, Seq Range: 3729494865 - 3729494880	
111308	None	2017-12-14T02:35:08.7506399		10.68.43.245	10.68.43.246	ReassembledTCP	TCP Virtual Reassembled Segment, SrcPort: ASA_APPL_PROTO(502), DstPort: 59892, Len: 12, Seq Range: 1482001417 - 1482001429	
